hour_index,timestamp,ghi_wm2,pv_actual_kw,pv_forecast_kw
0,2026-06-01T00:00:00,0.0,0.0,0.0
1,2026-06-01T01:00:00,0.0,0.0,0.0
2,2026-06-01T02:00:00,0.0,0.0,0.0
3,2026-06-01T03:00:00,0.0,0.0,0.0
4,2026-06-01T04:00:00,0.0,0.0,0.0
5,2026-06-01T05:00:00,12.5,4.8,3.5
6,2026-06-01T06:00:00,145.2,56.2,62.0
7,2026-06-01T07:00:00,380.0,148.5,155.0
8,2026-06-01T08:00:00,610.5,241.0,230.0
9,2026-06-01T09:00:00,820.1,325.4,310.0
10,2026-06-01T10:00:00,940.8,376.1,385.0
11,2026-06-01T11:00:00,985.0,394.0,405.0
12,2026-06-01T12:00:00,995.2,398.1,410.0
13,2026-06-01T13:00:00,950.4,380.2,390.0
14,2026-06-01T14:00:00,830.0,332.0,320.0
15,2026-06-01T15:00:00,620.5,248.2,260.0
16,2026-06-01T16:00:00,390.1,156.0,145.0
17,2026-06-01T17:00:00,160.0,64.0,70.0
18,2026-06-01T18:00:00,25.4,10.2,8.0
19,2026-06-01T19:00:00,0.0,0.0,0.0
20,2026-06-01T20:00:00,0.0,0.0,0.0
21,2026-06-01T21:00:00,0.0,0.0,0.0
22,2026-06-01T22:00:00,0.0,0.0,0.0
23,2026-06-01T23:00:00,0.0,0.0,0.0
