hour_index,timestamp,wind_speed_m_s,wind_actual_kw,wind_forecast_kw
0,2026-06-01T00:00:00,7.5,115.4,120.0
1,2026-06-01T01:00:00,8.2,142.8,135.0
2,2026-06-01T02:00:00,9.1,178.5,185.0
3,2026-06-01T03:00:00,10.4,232.0,220.0
4,2026-06-01T04:00:00,11.2,265.4,260.0
5,2026-06-01T05:00:00,12.1,300.0,300.0
6,2026-06-01T06:00:00,11.8,292.0,285.0
7,2026-06-01T07:00:00,10.2,224.0,235.0
8,2026-06-01T08:00:00,8.5,154.2,160.0
9,2026-06-01T09:00:00,7.1,102.5,95.0
10,2026-06-01T10:00:00,6.2,74.0,80.0
11,2026-06-01T11:00:00,5.5,52.8,50.0
12,2026-06-01T12:00:00,5.1,42.0,45.0
13,2026-06-01T13:00:00,4.8,35.0,40.0
14,2026-06-01T14:00:00,5.6,56.0,50.0
15,2026-06-01T15:00:00,6.8,92.5,100.0
16,2026-06-01T16:00:00,7.9,130.4,125.0
17,2026-06-01T17:00:00,8.8,166.2,170.0
18,2026-06-01T18:00:00,9.7,204.0,195.0
19,2026-06-01T19:00:00,10.8,248.5,255.0
20,2026-06-01T20:00:00,11.5,278.0,270.0
21,2026-06-01T21:00:00,12.0,300.0,300.0
22,2026-06-01T22:00:00,10.5,236.0,240.0
23,2026-06-01T23:00:00,8.9,170.0,165.0
